LastName,FirstName,Client,RptDate,CheckDate,BegDate,EndDate,Time,Check#,Location,Hrs,GrossPay,Fit,Fica,Sit,SDI,TolTaxes,Dedns,NetPay,DirecDeposit,401k,YtdHrs,YtdGross,YtdFit,YtdFICA,YtdSIT,YtdSDI,YtdTaxes,Ytd401k,YtdDedn,St,SSN,PaidTo,CheckAmount,CheckType,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1384.62,185.47,103.20,0.00,0.00,288.67,35.69,1060.26,0.00,0.00,520.00,18000.06,2568.27,1341.51,0.00,0.00,3909.78,0.00,463.97,,###-##-7008,JOHN SMITH,1060.26,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,,TAMPA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,522.00,10590.96,761.27,774.05,0.00,0.00,1535.32,0.00,790.32,,###-##-2415,JOHN SMITH,0,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1060.00,83.18,74.57,0.00,0.00,157.75,343.76,558.49,0.00,100.00,520.00,13780.00,1173.38,969.32,0.00,0.00,2142.70,1189.81,4418.88,,###-##-4161,JOHN SMITH,558.49,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1153.85,149.23,84.49,0.00,0.00,233.72,49.46,870.67,0.00,0.00,520.00,15000.05,2075.43,1098.32,0.00,0.00,3173.75,0.00,642.98,,###-##-0121,JOHN SMITH,870.67,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1538.47,204.74,107.32,0.00,0.00,312.06,191.02,1035.39,0.00,46.15,520.00,20000.11,2827.38,1395.16,0.00,0.00,4222.54,0.00,2483.26,,###-##-0163,JOHN SMITH,1035.39,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1442.31,198.45,110.33,0.00,0.00,308.78,0.00,1133.53,0.00,0.00,120.00,4326.93,595.35,331.01,0.00,0.00,926.36,0.00,0.00,,###-##-5089,JOHN SMITH,1133.53,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,35.00,322.26,0.00,10.94,0.00,0.00,10.94,311.32,0.00,0.00,2.04,455.00,4189.38,0.00,142.29,0.00,0.00,142.29,1665.69,4047.09,,###-##-6073,JOHN SMITH,0,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,30.00,468.75,0.00,13.48,0.00,0.00,13.48,292.49,162.78,0.00,0.00,94.00,1468.75,0.00,85.91,0.00,0.00,85.91,0.00,345.67,,###-##-6072,JOHN SMITH,162.78,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,820.00,83.75,58.85,0.00,0.00,142.60,50.79,626.61,0.00,0.00,534.00,11111.02,1193.57,799.49,0.00,0.00,1993.06,0.00,660.27,MD,###-##-0753,JOHN SMITH,626.61,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1200.00,94.87,72.15,0.00,0.00,167.02,332.07,700.91,0.00,36.00,520.00,15600.00,1306.55,937.88,0.00,0.00,2244.43,313.17,4316.91,,###-##-8038,JOHN SMITH,700.91,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1346.16,140.79,96.99,0.00,0.00,237.78,299.75,808.63,0.00,201.92,520.00,17500.08,1961.15,1261.00,0.00,0.00,3222.15,0.00,3896.75,,###-##-1920,JOHN SMITH,808.63,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1153.84,124.99,88.27,0.00,0.00,213.26,0.00,940.58,0.00,0.00,320.00,9230.72,1070.14,706.15,0.00,0.00,1776.29,0.00,0.00,,###-##-6026,JOHN SMITH,940.58,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1153.85,135.20,85.72,0.00,0.00,220.92,54.04,878.89,0.00,0.00,520.00,15000.05,1887.36,1114.29,0.00,0.00,3001.65,0.00,702.52,,###-##-7785,JOHN SMITH,878.89,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,2038.46,148.42,142.39,0.00,0.00,290.81,286.00,1461.65,0.00,101.92,560.00,28538.44,2270.45,2007.03,0.00,0.00,4277.48,0.00,3718.00,,###-##-8909,JOHN SMITH,1461.65,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1442.31,193.23,105.89,0.00,0.00,299.12,103.79,1039.40,0.00,0.00,520.00,18750.03,2673.39,1376.62,0.00,0.00,4050.01,0.00,1349.27,,###-##-1016,JOHN SMITH,1039.4,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1442.30,99.24,94.15,62.50,0.00,255.89,211.54,974.87,0.00,0.00,520.00,18749.90,1402.48,1223.99,812.50,0.00,3438.97,0.00,2750.02,VA,###-##-8056,JOHN SMITH,974.87,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1826.93,166.05,127.52,0.00,0.00,293.57,160.01,1373.35,0.00,0.00,520.00,23750.11,2257.29,1657.75,0.00,0.00,3915.04,0.00,2518.61,,###-##-9785,JOHN SMITH,1373.35,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1057.69,83.37,80.91,0.00,0.00,164.28,0.00,893.41,0.00,0.00,344.00,9096.14,700.23,695.85,0.00,0.00,1396.08,0.00,53.00,,###-##-6428,JOHN SMITH,893.41,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,2019.23,349.60,151.89,0.00,0.00,501.49,70.53,1447.21,0.00,0.00,520.00,26250.02,4780.64,1974.48,0.00,0.00,6755.12,0.00,916.89,,###-##-5703,JOHN SMITH,1447.21,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1307.60,115.99,97.35,0.00,0.00,213.34,35.03,1059.23,0.00,0.00,520.00,16998.80,1632.91,1265.57,0.00,0.00,2898.48,0.00,455.39,,###-##-0652,JOHN SMITH,1059.23,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1388.46,91.79,86.28,0.00,0.00,178.07,286.31,924.08,0.00,0.00,520.00,18049.98,1284.55,1121.66,0.00,0.00,2406.21,0.00,3722.03,,###-##-6021,JOHN SMITH,924.08,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1730.77,196.30,125.28,0.00,0.00,321.58,141.35,1267.84,0.00,0.00,560.00,24230.78,3129.34,1761.01,0.00,0.00,4890.35,0.00,1837.55,,###-##-6567,JOHN SMITH,1267.84,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,98765432,TAMPA,40.00,1923.08,182.08,134.61,0.00,0.00,316.69,163.44,1442.95,0.00,0.00,520.00,25000.04,2576.44,1749.96,0.00,0.00,4326.40,0.00,2124.72,,###-##-5076,JOHN SMITH,1442.95,C,
SMITH,JOHN,12345,10-12-2018,03-30-2018,03-19-2018,03-25-2018,09:37,,TAMPA,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,480.00,23076.84,4134.64,1547.32,0.00,0.00,5681.96,0.00,3234.35,,###-##-1389,JOHN SMITH,0,C,
