"Report Date","Client Id","Report time","Employee Id","Employee Full Name","Division","Home Phone","SSN","Hire Date","Term Date","Birth Date","Address","Employee Type","Active Status","City-State-Zip","Last Name","First Name Initial","Location","Department","Shift","Project","Pay Method","Pay Rate","Job Title"
"06/25/2018","243","22:29","A04586","BOB SCHNAPPS P","","789-564-7898","123-45-6789","07/25/2002","06/29/2011","01/02/1902","123 WAY DRIVE","REG FT","T","DELRAY BEACH FL 33444","BOB","SCHNAPPS P","1","100","","","SALARY","53000.00","CLERK"
"06/25/2018","243","22:29","A04634","SMITH JANE L","","555-555-5556","999-88-8888","02/16/2004","10/25/2004","08/18/1970","55 ANYWHERE ST.","REG FT","T","STUART FL 34997","SMITH","JANE L","1","100","","","SALARY","30000.00","CLERK"
"06/25/2018","243","22:29","A04754","APSEY LOREN ","1","772/555-1212","589-36-9241","05/01/2008","00/00/0000","10/04/1970","5145 CORVETTE DR","REG FT","A","TAMPA FL 33624","APSEY","LOREN ","1","100","","PROJ-1","SALARY","300000.00","THINKER"
"06/25/2018","243","22:29","B04755","GANZO POP B","1","772/555-1212","555-44-3322","07/01/2008","12/25/2008","01/01/1981","1111 SUNNY ST","REG FT","T","BRANDON FL 33510","GANZO","POP B","2","100","","","HOURLY","10.0000","GRAPHIC ARTIST D1"
"06/25/2018","243","22:29","C04612","SMIETH ROBERT ","","561/555-8745","238-99-9999","06/18/2002","03/07/2003","08/29/1957","4400 CONGRESS AVE","REG FT","T","WEST PALM BEACH FL 33407","SMIETH","ROBERT ","1","100","","","HOURLY","20.0000","CLERK"
"06/25/2018","243","22:29","D04589","DEB STEPH D","1","561/704-8888","123-25-8969","12/04/2002","00/00/0000","02/21/1987","123 LAKE ST","REG PT","A","TAMPA FL 33618","DEB","STEPH D","1","100","","T04723","HOURLY","11.0000","PRESIDENT"
"06/25/2018","243","22:29","D04637","REYNOLDS KAREN ","IDEA","941/426-0268","147-98-2356","09/30/2004","05/31/2008","08/27/1951","14330 VIRGINIA ST","REG FT","T","WEST PALM BEACH FL 33407","REYNOLDS","KAREN ","1","100","","","HOURLY","11.0000","CLERK"
"06/25/2018","243","22:29","E04566","WILLIAMSON DOTTIE ","","561/228-4447","447-66-2584","01/01/2002","08/15/2008","04/12/1958","353 PINE ST","REG PT","T","PALM BEACH GARDENS FL 33408","WILLIAMSON","DOTTIE ","1","100","","","HOURLY","6.5000","CLERK"
"06/25/2018","243","22:29","E04590","CLARK DICK ","","772/555-8741","594-24-4444","08/09/2002","00/00/0000","02/21/1976","750 COMMERCE WAY","REG FT","A","OLATHE KS 66062","CLARK","DICK ","1","100","","","HOURLY","25.0000","CLERK"
"06/25/2018","243","22:29","F04567","REDMOND DENISE ","","558/999-7777","539-87-1147","02/01/2002","11/30/2006","12/25/1969","3 LONE ST","REG FT","T","WEST PALM BEACH FL 33407","REDMOND","DENISE ","1","100","","","HOURLY","25.0000","CLERK"
